Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2801,Barrel_Jack_Switch,BarrelJack_GCT_DCJ200-10-A_Horizontal,179.145,-1.825,180.0,bottom
J2802,Conn_02x04_Counter_Clockwise,PinSocket_2x04_P2.54mm_Vertical,178.505,-22.575,90.0,bottom
J2901,In1,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,23.92,-9.65,90.0,bottom
J2902,In2,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,65.554,-9.65,90.0,bottom
J2903,Out1,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,291.393,-9.65,90.0,bottom
J2904,Out2,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,332.911,-9.65,90.0,bottom
J2905,Generic1,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,133.474,-9.65,90.0,bottom
J2906,Generic2,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,223.51,-9.65,90.0,bottom
Q201,3906 BEC,SOT-23_Handsoldering,23.368,-192.024,180.0,top
Q202,3906 BEC,SOT-23_Handsoldering,65.532,-202.692,-90.0,top
Q901,3906 BEC,SOT-23_Handsoldering,235.712,-123.19,180.0,top
Q902,3906 BEC,SOT-23_Handsoldering,230.886,-136.652,90.0,top
Q1301,3904 BEC,SOT-23_Handsoldering,302.569,-98.965,180.0,top
Q1302,3904 BEC,SOT-23_Handsoldering,336.605,-98.203,0.0,top
Q1303,3904 BEC,SOT-23_Handsoldering,295.457,-98.711,180.0,top
Q1304,3904 BEC,SOT-23_Handsoldering,348.797,-99.473,0.0,top
Q2901,J201,SOT-23_Handsoldering,44.759,-10.319,180.0,top
Q2902,3904 BEC,SOT-23_Handsoldering,266.501,-7.525,180.0,top
Q2903,J201,SOT-23_Handsoldering,86.669,-11.081,180.0,top
Q2904,3904 BEC,SOT-23_Handsoldering,308.665,-7.525,180.0,top
R201,30K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,38.1,-184.912,-90.0,top
R202,8.2K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,42.8225,-195.834,0.0,top
R203,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,21.336,-186.944,-90.0,top
R204,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,24.384,-186.8405,-90.0,top
